BRAND,MODEL,VARIAN,BODY TYPE,HARGAOTR,HORSE POWER (HP),TORQUE (Nm),GROUND CLEARENCE,CHASSIS,EV_RANGE_KM,BATTERY (KWH),CC,TRANSMISSION,FUEL,WEIGHT (GVW),WHEEL (Inch),TYRE,WHEELBASE,LONG,WIDTH,HEIGHT,SEAT,DRIVE_SYS,DOOR,AIRBAGS,ABS,EBD,ESC,TCS,AEB,ACC,LKA,RCTA,ACC_STOP_GO,LANE_CENTERING,DRIVER_MONITOR_CAMERA,PARK_SENSOR_FRONT,PARK_SENSOR_REAR,REAR_CAMERA,CAMERA_360,TRUNK_CAPACITY_LITER,TIPE_SUSPENSI_BELAKANG,COMPRESSION_RATIO,TIPE_BATERAI,TILT_TELESCOPIC_STEERING,APPLE_CARPLAY,ANDROID_AUTO,LEATHER_SEAT,PARKING_BRAKE,AUTO_HOLD,WIRELESS_CHARGER,SOFT_TOUCH_INTERIOR,SUNROOF,POWER_TAILGATE,ELECTRIC_SEAT,AMBIENT_LIGHT,HEADLAMP,AIR_SUSPENSION,VENTILATED_SEAT,MASSAGE_SEAT,REAR_SEAT_ENTERTAINMENT,SOFT_CLOSE_DOOR,HEAD_UP_DISPLAY,REAR_LAMP,SPEEDOMETER,TOTAL_2025,INDEX_PERFORMANCE,INDEX_EFFICIENCY,INDEX_SAFETY,INDEX_COMFORT,INDEX_TECH,INDEX_SPACE,INDEX_POPULARITY,INDEX_PRICE
AION,HYPTEC HT,PREMIUM,SUV,685000000,335,430,150,Monocoque,620,83.0,0,Single Speed,BEV,2400,20,245/50,2935,4935,1920,1700,5,RWD,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,672,Multi-link,0.0,LFP,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Rear Backrest),Yes,LED,No,Yes (Front),Yes (Front & Rear),No,Yes,Yes,LED,Digital,1914,0.9852538778622275,1.0411968812828087,1.0576650188982895,1.5512078203142212,1.5278413866259961,0.636836214590998,0.4057890743803388,0.16979747151310562
AION,HYPTEC HT,ULTRA (GULLWING),SUV,835000000,335,430,150,Monocoque,620,83.0,0,Single Speed,BEV,2470,20,245/50,2935,4935,1920,1700,5,RWD,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,672,Multi-link,0.0,LFP,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Rear Backrest),Yes,LED,No,Yes (Front),Yes (Front & Rear),No,Yes,Yes,LED,Digital,0,1.0107947800071495,1.0028855280654254,1.0576650188982895,1.5512078203142212,1.5278413866259961,0.636836214590998,-0.39579534157340834,0.016655654023792096
AION,UT,PREMIUM,Hatchback,363000000,201,210,150,Monocoque,500,60.0,0,Single Speed,BEV,2050,17,215/55,2750,4270,1850,1575,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,440,Torsion Beam,0.0,LFP,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital,1087,0.2513805194877025,0.9315519254626308,1.0576650188982895,0.6304132654817253,0.34872546151236483,-0.13770565828055437,0.05944094899175524,0.4985419063901653
AION,V,EXCLUSIVE,SUV,449000000,181,240,160,Monocoque,505,64.5,0,Single Speed,BEV,2250,18,225/55,2775,4605,1854,1660,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,427,Multi-link,0.0,LFP,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital,101,0.3540214492894802,0.8679499989651077,0.8461097548460191,0.6304132654817253,0.34872546151236483,0.10704885837815051,-0.3534964774086599,0.41074059769629223
AION,V,LUXURY,SUV,489000000,201,240,160,Monocoque,602,75.3,0,Single Speed,BEV,2320,19,225/45,2775,4605,1854,1660,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,427,Multi-link,0.0,LFP,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,Yes (Front),Yes (Front),No,No,No,LED,Digital,2986,0.5223827946746088,0.9998302135351084,1.0576650188982895,1.5512078203142212,0.9382834240691804,0.10704885837815051,0.8547433554160844,0.369902779699142
AION,Y PLUS,EXCLUSIVE,MPV,419000000,201,225,150,Monocoque,410,50.6,0,Single Speed,BEV,2235,17,215/55,2750,4535,1870,1650,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,405,Torsion Beam,0.0,LFP,Lengkap,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,Panoramic,No,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital,602,0.2317263762264885,0.6782276436206073,0.8461097548460191,0.1700159880654772,-0.24083250104445075,0.01878837207598407,-0.14367735912609603,0.4413689611941549
AION,Y PLUS,PREMIUM,MPV,479000000,201,225,150,Monocoque,490,63.2,0,Single Speed,BEV,2300,18,215/50,2750,4535,1870,1650,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,405,Torsion Beam,0.0,LFP,Lengkap,Wired,Wired,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Driver),Yes,LED,No,Yes (Driver),No,No,No,No,LED,Digital,149,0.37217254748478484,0.8177472445329119,0.8461097548460191,1.0908105428979733,0.9382834240691804,0.01878837207598407,-0.33339404691452207,0.38011223419842954
AUDI,A4,SEDAN 2.0 TFSI QUATTRO,Sedan,1350000000,245,370,135,Monocoque,0,0.0,2000T,DCT,Petrol,2085,18,245/40,2820,4762,1847,1431,5,AWD,4,6,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,460,Multi-link,9.6,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Moonroof,Yes,Yes (Front),Yes,LED,No,No,No,No,No,No,LED,Digital,3,0.05295033178320495,-0.35872948397172144,-0.2116665654153323,0.6304132654817253,-0.24083250104445075,-0.2839218657739212,-0.39453893966752474,-0.5091312526895176
AUDI,A5,COUPE 2.0 TFSI QUATTRO,Coupe,1550000000,245,370,120,Monocoque,0,0.0,2000T,DCT,Petrol,2050,19,255/35,2766,4697,1846,1371,4,AWD,2,6,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,450,Multi-link,9.6,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,No,No,No,No,No,LED,Digital,0,0.03762579049625171,-0.3331885818267994,-0.2116665654153323,0.6304132654817253,-0.24083250104445075,-0.9400254102765155,-0.39579534157340834,-0.713320342675269
AUDI,A5,SPORTBACK 2.0 TFSI QUATTRO,Sedan,1550000000,245,370,120,Monocoque,0,0.0,2000T,DCT,Petrol,2100,19,255/35,2824,4733,1843,1386,5,AWD,5,6,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,480,Multi-link,9.6,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,No,No,No,No,No,LED,Digital,1,0.05951799233475635,-0.3696755848909738,-0.2116665654153323,0.6304132654817253,-0.24083250104445075,-0.19836364548508412,-0.3953765409381138,-0.713320342675269
