BRAND,MODEL,VARIAN,BODY TYPE,HARGAOTR,HORSE POWER (HP),TORQUE (Nm),GROUND CLEARENCE,CHASSIS,EV_RANGE_KM,BATTERY (KWH),CC,TRANSMISSION,FUEL,WEIGHT (GVW),WHEEL (Inch),TYRE,WHEELBASE,LONG,WIDTH,HEIGHT,SEAT,DRIVE_SYS,DOOR,AIRBAGS,ABS,EBD,ESC,TCS,AEB,ACC,LKA,RCTA,ACC_STOP_GO,LANE_CENTERING,DRIVER_MONITOR_CAMERA,PARK_SENSOR_FRONT,PARK_SENSOR_REAR,REAR_CAMERA,CAMERA_360,TRUNK_CAPACITY_LITER,TIPE_SUSPENSI_BELAKANG,COMPRESSION_RATIO,TIPE_BATERAI,TILT_TELESCOPIC_STEERING,APPLE_CARPLAY,ANDROID_AUTO,LEATHER_SEAT,PARKING_BRAKE,AUTO_HOLD,WIRELESS_CHARGER,SOFT_TOUCH_INTERIOR,SUNROOF,POWER_TAILGATE,ELECTRIC_SEAT,AMBIENT_LIGHT,HEADLAMP,AIR_SUSPENSION,VENTILATED_SEAT,MASSAGE_SEAT,REAR_SEAT_ENTERTAINMENT,SOFT_CLOSE_DOOR,HEAD_UP_DISPLAY,REAR_LAMP,SPEEDOMETER,TOTAL_2025,raw_feature_points,SCORE_FEATURE,SCORE_SAFETY,SCORE_PERFORMANCE,SCORE_POPULARITY,SCORE_VALUE
AION,HYPTEC HT,PREMIUM,SUV,685000000,335,430,150,Monocoque,620,83.0,0,Single Speed,BEV,2400,20,245/50,2935,4935,1920,1700,5,RWD,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,672,Multi-link,0.0,LFP,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Rear Backrest),Yes,LED,No,Yes (Front),Yes (Front & Rear),No,Yes,Yes,LED,Digital,1914,16,9.4,7.5,4.4,0.9,5.2
AION,HYPTEC HT,ULTRA (GULLWING),SUV,835000000,335,430,150,Monocoque,620,83.0,0,Single Speed,BEV,2470,20,245/50,2935,4935,1920,1700,5,RWD,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,672,Multi-link,0.0,LFP,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Rear Backrest),Yes,LED,No,Yes (Front),Yes (Front & Rear),No,Yes,Yes,LED,Digital,0,16,9.4,7.5,4.4,0.0,4.3
AION,UT,PREMIUM,Hatchback,363000000,201,210,150,Monocoque,500,60.0,0,Single Speed,BEV,2050,17,215/55,2750,4270,1850,1575,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,440,Torsion Beam,0.0,LFP,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital,1087,11,6.5,7.5,2.4,0.5,7.6
AION,V,EXCLUSIVE,SUV,449000000,181,240,160,Monocoque,505,64.5,0,Single Speed,BEV,2250,18,225/55,2775,4605,1854,1660,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,427,Multi-link,0.0,LFP,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital,101,11,6.5,7.5,2.4,0.0,6.1
AION,V,LUXURY,SUV,489000000,201,240,160,Monocoque,602,75.3,0,Single Speed,BEV,2320,19,225/45,2775,4605,1854,1660,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,427,Multi-link,0.0,LFP,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,Yes (Front),Yes (Front),No,No,No,LED,Digital,2986,14,8.2,7.5,2.5,1.4,6.3
AION,Y PLUS,EXCLUSIVE,MPV,419000000,201,225,150,Monocoque,410,50.6,0,Single Speed,BEV,2235,17,215/55,2750,4535,1870,1650,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,405,Torsion Beam,0.0,LFP,Lengkap,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,Panoramic,No,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital,602,9,5.3,7.5,2.5,0.3,6.1
AION,Y PLUS,PREMIUM,MPV,479000000,201,225,150,Monocoque,490,63.2,0,Single Speed,BEV,2300,18,215/50,2750,4535,1870,1650,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,405,Torsion Beam,0.0,LFP,Lengkap,Wired,Wired,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Driver),Yes,LED,No,Yes (Driver),No,No,No,No,LED,Digital,149,13,7.6,7.5,2.5,0.1,6.2
AUDI,A4,SEDAN 2.0 TFSI QUATTRO,Sedan,1350000000,245,370,135,Monocoque,0,0.0,2000T,DCT,Petrol,2085,18,245/40,2820,4762,1847,1431,5,AWD,4,6,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,460,Multi-link,9.6,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Moonroof,Yes,Yes (Front),Yes,LED,No,No,No,No,No,No,LED,Digital,3,6,3.5,6.7,3.5,0.0,1.7
AUDI,A5,COUPE 2.0 TFSI QUATTRO,Coupe,1550000000,245,370,120,Monocoque,0,0.0,2000T,DCT,Petrol,2050,19,255/35,2766,4697,1846,1371,4,AWD,2,6,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,450,Multi-link,9.6,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,No,No,No,No,No,LED,Digital,0,6,3.5,6.7,3.5,0.0,1.5
AUDI,A5,SPORTBACK 2.0 TFSI QUATTRO,Sedan,1550000000,245,370,120,Monocoque,0,0.0,2000T,DCT,Petrol,2100,19,255/35,2824,4733,1843,1386,5,AWD,5,6,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,480,Multi-link,9.6,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,No,No,No,No,No,LED,Digital,1,6,3.5,6.7,3.5,0.0,1.5
