BRAND,MODEL,VARIAN,TYPE MODEL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL_2025
AION,Hyptec HT,Premium,HYPTEC HT Premium,0,79,886,276,195,56,37,96,23,78,75,113,1914
AION,Hyptec HT,Ultra (Gullwing),HYPTEC HT Ultra,0,0,0,0,0,0,0,0,0,0,0,0,0
AION,UT,Premium,AION UT Premium,0,0,0,0,0,0,0,0,0,0,0,1087,1087
AION,V,Exclusive,AION V Exclusive,0,0,0,0,0,0,0,0,25,21,23,32,101
AION,V,Luxury,AION V Luxury,0,0,0,0,0,765,336,617,502,318,245,203,2986
AION,Y Plus,Exclusive,AION Y Plus Exclusive,66,57,66,75,65,25,9,5,2,0,0,232,602
AION,Y Plus,Premium,AION Y Plus Premium,17,23,7,11,22,14,39,7,2,0,0,7,149
AUDI,A4,Sedan 2.0 TFSI quattro,A4 2.0 TFSI A/T,0,1,0,0,0,0,0,0,0,0,0,2,3
AUDI,A5,Coupe 2.0 TFSI quattro,A5 2.0 TFSI,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,A5,Sportback 2.0 TFSI quattro,A5 2.0 TFSI A/T SB,0,0,0,0,0,0,0,0,0,0,0,1,1
AUDI,Q5,2.0 TFSI Quattro,Q5 2.0 TFSI AT,0,0,2,1,1,0,0,0,1,0,0,0,5
AUDI,Q7,3.0 TFSI Quattro,Q7 3.0 TFSI AT,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,Q8,3.0 TFSI Quattro,Q8 3.0 TFSI A/T,0,0,0,1,1,1,0,0,0,1,1,0,5
BAIC,BJ30,Hybrid AWD,BJ-30 AWD,0,0,0,0,0,0,0,0,0,46,48,20,114
BAIC,BJ40,Plus 4x4,BJ-40 PLUS,20,37,43,37,24,40,45,75,50,28,37,19,455
BAIC,X55 II,Lite,X-55 II Prime,1,14,15,0,0,0,0,0,0,0,0,0,30
BAIC,X55 II,Prime,X-55 II Lite,0,0,0,1,7,1,2,3,2,2,0,2,20
BMW,2 Series,218i Gran Coupé Sport,218i Gran Coupe,0,2,7,1,0,0,0,1,0,8,0,0,19
BMW,2 Series,220i Coupé M Sport,220i Coupe AT,0,1,1,0,0,0,0,0,0,1,0,2,5
BMW,3 Series,320i M Sport,320i CKD AT,1,0,14,5,28,1,0,0,1,3,19,2,74
